@relation 'train_RF.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23-weka.filters.unsupervised.attribute.Reorder-Rfirst-11,13-last,12'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
1,11,False,True,True,False,True,True,True,True,True,5,5,9,14,-6,-2,-1,-4,Stop
1,11,False,True,True,False,True,True,True,True,True,5,5,9,15,-6,-2,-1,-4,Stop
1,11,False,True,True,False,True,True,True,True,True,6,5,10,15,-6,-3,-1,-3,Stop
1,11,False,True,True,False,True,True,True,True,True,5,5,10,14,-6,-3,-2,-3,East
2,11,False,False,True,True,True,True,True,True,True,4,3,10,13,-7,-3,-2,-3,East
3,11,False,False,True,True,True,True,True,True,True,4,1,9,12,-7,-3,-3,-2,East
4,11,False,False,True,True,True,True,True,True,True,3,0,8,11,-7,-4,-4,-2,East
5,11,False,True,True,True,True,True,True,True,True,1,0,7,9,-7,-4,-3,-2,South
5,10,True,True,True,False,True,True,True,True,True,1,0,8,9,-6,-2,-2,0,South
5,9,True,True,True,True,True,True,False,True,True,0,-2,7,9,-5,-8,-1,1,South
5,8,True,True,True,True,True,True,False,True,True,0,-2,8,9,-3,-7,0,2,South
5,7,True,False,True,True,True,True,False,True,True,0,-2,8,9,-2,-6,0,2,East
6,7,True,False,True,True,True,True,False,True,True,0,-3,6,9,-2,-6,0,2,East
7,7,True,False,True,True,True,True,False,True,True,-1,-4,5,8,-2,-6,0,2,East
8,7,True,True,True,True,True,True,False,True,True,-3,-5,4,7,-2,-6,1,1,East
9,7,True,True,True,True,True,True,False,True,True,-5,-6,3,7,-2,-6,1,1,South
9,6,True,True,True,True,True,True,False,True,True,-6,-6,4,7,-1,-5,2,2,South
9,5,True,True,True,True,True,True,False,True,True,-7,-6,5,7,0,-4,3,4,West
8,5,True,True,True,True,True,True,False,True,True,-6,-5,5,8,-1,-4,3,4,West
7,5,False,True,True,True,True,True,False,True,True,-4,-4,6,9,-1,-4,4,4,West
6,5,False,True,True,True,True,True,False,True,True,-4,-3,6,11,-1,-4,4,4,West
5,5,False,True,True,True,True,True,False,True,True,-3,-2,7,11,-1,-4,3,4,West
4,5,False,True,True,True,True,True,False,True,True,-2,-1,9,11,0,-4,3,4,West
3,5,False,True,True,True,True,False,False,True,True,-2,0,11,13,-4,-4,3,4,West
2,5,False,True,True,True,True,False,False,True,True,-1,1,12,14,-4,-4,2,4,West
1,5,True,True,True,False,True,False,False,True,True,0,2,14,15,-4,-4,2,3,East
2,5,False,True,True,True,True,False,False,True,True,-1,1,13,14,-4,-4,3,4,East
3,5,False,True,True,True,True,False,False,True,True,-2,0,12,13,-4,-4,3,4,East
4,5,False,True,True,True,True,False,False,True,True,-3,-1,11,12,-4,-4,3,4,East
5,5,False,True,True,True,True,False,False,True,True,-4,-2,10,10,-4,-4,3,4,East
6,5,False,True,True,True,True,False,False,True,True,-5,-3,8,9,-4,-4,3,4,East
7,5,False,True,True,True,True,False,False,True,True,-6,-4,8,7,-4,-4,3,4,East
8,5,True,True,True,True,True,False,False,True,True,-7,-5,7,6,-4,-4,4,4,East
9,5,True,True,True,True,True,False,False,True,True,-8,-6,6,5,-4,-4,4,4,East
10,5,True,True,True,True,True,False,False,True,True,-9,-7,6,3,-4,-4,4,4,East
11,5,False,True,True,True,True,False,False,True,True,-10,-8,6,3,-4,-4,4,4,East
12,5,False,False,True,True,True,False,False,True,True,-11,-9,6,1,-4,-4,4,4,East
13,5,False,True,True,True,True,False,False,True,True,-12,-10,5,-1,-4,-4,5,4,East
14,5,True,True,True,True,True,False,False,True,True,-13,-11,4,-2,-4,-4,5,3,North
14,6,True,True,False,False,True,False,False,True,True,-13,-11,4,-2,-5,-5,4,1,North
14,7,True,True,True,True,True,False,False,True,True,-13,-11,4,-2,-6,-6,3,1,North
14,8,True,True,True,True,True,False,False,True,True,-13,-11,4,-1,-7,-7,3,0,West
13,8,True,True,True,True,True,False,False,True,True,-12,-10,4,-1,-7,-7,3,0,West
12,8,True,True,True,False,True,False,False,True,False,-11,-9,6,-5,-7,-7,3,-7,East
13,8,True,True,True,True,True,False,False,True,False,-12,-10,4,-6,-7,-7,3,-7,East
14,8,True,True,True,True,True,False,False,True,False,-13,-11,2,-7,-7,-7,3,-7,East
15,8,True,True,True,True,True,False,False,True,False,-14,-12,2,-8,-7,-7,3,-7,East
16,8,True,True,True,True,True,False,False,True,False,-15,-13,1,-9,-7,-7,3,-7,East
17,8,True,True,True,True,True,False,False,True,False,-16,-14,-1,-10,-7,-7,3,-7,East
18,8,True,True,False,True,True,False,False,True,False,-17,-15,-2,-11,-7,-7,3,-7,North
18,9,True,True,False,True,True,False,False,True,False,-17,-15,-3,-11,-8,-8,2,-8,North
18,10,True,True,False,False,True,False,False,True,False,-17,-15,-3,-11,-9,-9,1,-9,North
18,11,False,True,False,True,True,False,False,True,False,-17,-15,-2,-11,-10,-10,0,-10,West
14,1,False,False,True,True,True,True,True,True,True,-4,-1,0,3,12,12,12,12,Stop
14,1,False,False,True,True,True,True,True,True,True,-4,-1,0,3,12,12,12,12,Stop
14,1,False,False,True,True,True,True,True,True,True,-4,-1,0,2,12,13,12,12,Stop
