@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36'

@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
False,True,True,True,-1,7,10,19,0,-1,176,175
False,True,True,True,-1,6,9,18,0,-1,175,174
False,True,True,True,-1,5,8,17,0,-1,174,173
False,True,True,True,-1,4,7,16,0,-1,173,172
False,True,True,True,-1,3,6,15,0,-1,172,171
False,True,True,True,-1,2,7,16,0,-1,171,170
False,True,True,True,-1,1,8,17,0,-1,170,369
False,False,True,True,-1,-1,9,18,0,-1,369,368
False,False,True,True,-1,-1,8,17,0,-1,368,367
False,False,True,True,-1,-1,7,16,0,-1,367,366
False,False,True,True,-1,-1,6,15,0,-1,366,365
False,False,True,True,-1,-1,7,14,0,-1,365,364
False,False,True,True,-1,-1,8,15,0,-1,364,363
False,False,True,True,-1,-1,9,16,0,-1,363,362
False,False,True,True,-1,-1,10,17,0,-1,362,361
False,False,True,True,-1,-1,11,18,0,-1,361,360
False,False,True,True,-1,-1,12,19,0,-1,360,359
False,False,True,True,-1,-1,11,18,0,-1,359,358
False,False,True,True,-1,-1,10,17,0,-1,358,357
False,False,True,True,-1,-1,9,16,0,-1,357,356
False,False,True,True,-1,-1,8,15,0,-1,356,355
False,False,True,True,-1,-1,7,14,0,-1,355,354
False,False,True,True,-1,-1,6,13,0,-1,354,353
False,False,True,True,-1,-1,5,12,0,-1,353,352
False,False,True,True,-1,-1,4,11,0,-1,352,351
False,False,True,True,-1,-1,3,12,0,-1,351,350
False,False,True,True,-1,-1,2,11,0,-1,350,349
False,False,True,True,-1,-1,1,10,0,-1,349,548
False,False,False,True,-1,-1,-1,9,0,-1,548,547
False,False,False,True,-1,-1,-1,8,0,-1,547,546
False,False,False,True,-1,-1,-1,7,0,-1,546,545
False,False,False,True,-1,-1,-1,6,0,-1,545,544
False,False,False,True,-1,-1,-1,5,0,-1,544,543
False,False,False,True,-1,-1,-1,4,0,-1,543,542
False,False,False,True,-1,-1,-1,3,0,-1,542,541
False,False,False,True,-1,-1,-1,2,0,-1,541,540
False,False,False,True,-1,-1,-1,1,0,-1,540,739
True,True,True,True,16,13,12,15,229,1,0,99
True,True,True,True,17,13,13,13,228,1,99,198
True,True,True,True,15,13,12,13,227,1,198,297
True,True,True,True,13,12,12,12,226,1,297,396
True,True,True,True,15,14,13,11,225,1,396,495
True,True,True,True,17,14,14,11,224,1,495,594
True,True,True,True,17,14,15,12,223,1,594,693
True,True,True,True,17,14,15,11,222,1,693,792
True,True,True,True,15,14,15,9,221,1,792,891
True,True,True,True,14,12,13,8,220,1,891,990
True,True,True,True,14,13,13,9,219,1,990,1089
True,True,True,True,14,15,15,11,218,1,1089,1188
True,True,True,True,15,16,17,13,217,1,1188,1287
True,True,True,True,13,16,17,13,216,1,1287,1386
True,True,True,True,12,15,17,13,215,1,1386,1485
True,True,True,True,10,13,15,13,214,1,1485,1584
True,True,True,True,10,13,15,12,213,1,1584,1683
True,True,True,True,10,11,14,12,212,1,1683,1682
True,True,True,True,8,9,14,12,212,2,1682,1681
True,True,True,True,8,7,14,12,212,2,1681,1680
True,True,True,True,6,7,13,11,212,2,1680,1679
True,True,True,True,6,7,11,10,212,2,1679,1678
True,True,True,True,6,5,10,10,212,2,1678,1677
True,True,True,True,5,6,8,8,212,2,1677,1676
True,True,True,True,3,5,8,6,212,3,1676,1675
True,True,True,True,3,3,6,6,212,3,1675,1674
True,True,True,True,2,3,6,5,212,3,1674,1873
False,True,True,True,-1,1,5,4,212,3,1873,2072
False,False,True,True,26,-1,3,3,212,4,2072,2071
False,False,True,True,24,-1,1,2,212,4,2071,2270
True,True,True,True,14,12,15,21,121,2,0,-1
True,True,True,True,12,10,14,20,121,1,-1,-2
True,True,True,True,12,9,13,18,121,1,-2,97
True,True,True,True,11,9,11,16,120,1,97,196
True,True,True,True,9,8,9,14,119,1,196,295
True,True,True,True,10,6,8,13,118,1,295,394
True,True,True,True,10,6,8,13,117,1,394,493
True,True,True,True,9,6,9,13,116,1,493,592
True,True,True,True,11,6,7,12,115,1,592,691
True,True,True,True,11,6,7,10,114,1,691,690
True,True,True,True,13,6,7,10,114,2,690,689
True,True,True,True,14,6,5,8,114,1,689,788
True,True,True,True,15,8,3,6,113,1,788,887
True,True,True,True,15,9,3,4,112,1,887,986
True,True,True,True,17,11,1,2,111,1,986,1185
