@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,1,1,1,8,6,7,6,212,2,1677,1676
1,1,1,1,6,6,5,5,212,3,1676,1675
1,1,1,1,4,6,4,4,212,3,1675,1674
1,1,1,1,4,6,3,4,212,3,1674,1673
1,1,1,1,2,6,3,2,212,3,1673,1672
1,1,1,1,4,5,3,2,212,4,1672,1871
1,1,1,0,2,7,3,-1,212,5,1871,1870
1,1,1,0,1,7,2,-1,212,5,1870,2069
0,1,1,0,-1,8,1,-1,212,4,2069,2268
0,1,0,0,-1,9,-1,-1,212,4,2268,2267
0,1,0,0,-1,7,-1,-1,212,4,2267,2266
0,1,0,0,-1,5,-1,-1,212,5,2266,2265
0,1,0,0,-1,5,-1,-1,212,5,2265,2264
0,1,0,0,-1,5,-1,-1,212,5,2264,2263
0,1,0,0,-1,5,-1,-1,212,4,2263,2262
0,1,0,0,24,3,-1,-1,212,3,2262,2261
0,1,0,0,-1,3,-1,-1,212,2,2261,2260
0,1,0,0,-1,1,-1,-1,212,1,2260,2459
1,1,1,1,11,9,5,3,1,7,0,-1
1,1,1,1,13,9,5,2,1,6,-1,-2
1,1,1,1,15,7,7,1,1,7,-2,197
1,1,1,0,15,5,9,-1,1,8,197,196
1,1,1,0,13,4,7,-1,1,9,196,195
1,1,1,0,13,2,9,-1,1,10,195,194
1,1,1,0,13,1,10,-1,1,11,194,393
1,0,1,0,13,-1,12,-1,1,12,393,392
1,0,1,0,13,-1,10,-1,1,11,392,391
1,0,1,0,14,-1,8,-1,1,10,391,390
1,0,1,0,16,-1,7,-1,1,9,390,389
1,0,1,0,16,-1,7,-1,1,8,389,388
1,0,1,0,14,-1,6,-1,1,7,388,387
1,0,1,0,14,-1,4,-1,1,6,387,386
1,0,1,0,14,-1,4,-1,1,7,386,385
1,0,1,0,14,-1,4,-1,1,6,385,384
1,0,1,0,13,-1,3,-1,1,7,384,383
1,0,1,0,11,-1,2,-1,1,8,383,382
1,0,1,0,9,-1,2,-1,1,9,382,581
1,0,0,0,8,-1,-1,-1,1,10,581,580
1,0,0,0,8,-1,-1,-1,1,11,580,579
1,0,0,0,8,-1,-1,-1,1,12,579,578
1,0,0,0,8,-1,-1,-1,1,13,578,577
1,0,0,0,8,-1,-1,-1,1,14,577,576
1,0,0,0,8,-1,-1,-1,1,15,576,575
1,0,0,0,6,-1,-1,-1,1,16,575,574
1,0,0,0,6,-1,-1,-1,1,17,574,573
1,0,0,0,4,-1,-1,-1,1,18,573,572
1,0,0,0,4,-1,-1,-1,1,19,572,571
1,0,0,0,2,-1,-1,-1,1,20,571,570
1,0,0,0,2,-1,-1,-1,1,21,570,569
1,0,0,0,2,-1,-1,-1,1,20,569,768
1,1,1,1,16,13,12,15,229,1,0,99
1,1,1,1,17,14,14,13,228,1,99,198
1,1,1,1,15,14,13,12,227,1,198,297
1,1,1,1,14,14,12,12,226,1,297,396
1,1,1,1,16,14,12,11,225,1,396,495
1,1,1,1,17,15,14,10,224,1,495,594
1,1,1,1,18,16,16,12,223,1,594,693
1,1,1,1,16,14,14,11,222,1,693,792
1,1,1,1,16,14,12,11,221,1,792,891
1,1,1,1,14,14,12,11,220,1,891,990
1,1,1,1,14,16,13,13,219,1,990,1089
1,1,1,1,14,18,15,15,218,1,1089,1188
1,1,1,1,15,20,15,15,217,1,1188,1287
1,1,1,1,15,20,15,13,216,1,1287,1386
1,1,1,1,13,20,15,13,215,1,1386,1485
1,1,1,1,13,18,13,13,214,1,1485,1584
1,1,1,1,11,17,12,12,213,1,1584,1683
1,1,1,1,10,17,11,12,212,1,1683,1682
1,1,1,1,9,16,9,10,212,2,1682,1681
1,1,1,1,9,14,8,10,212,2,1681,1680
1,1,1,1,7,14,8,9,212,2,1680,1679
1,1,1,1,7,12,8,7,212,2,1679,1678
1,1,1,1,7,12,8,6,212,2,1678,1677
1,1,1,1,8,12,7,6,212,2,1677,1676
1,1,1,1,8,12,7,4,212,3,1676,1675
1,1,1,1,6,12,6,2,212,3,1675,1674
1,1,1,1,4,10,4,2,212,3,1674,1673
1,1,1,1,2,9,4,2,212,3,1673,1872
1,1,1,0,4,9,2,-1,212,4,1872,1871
1,1,1,0,6,8,2,-1,212,4,1871,1870
1,1,1,0,7,8,2,-1,212,3,1870,1869
1,1,1,0,8,8,1,-1,212,3,1869,2068
1,1,0,0,9,7,-1,-1,212,3,2068,2067
1,1,0,0,9,6,-1,-1,212,3,2067,2066
1,1,0,0,11,5,-1,-1,212,2,2066,2065
1,1,0,0,10,3,-1,-1,212,2,2065,2064
1,1,0,0,8,2,-1,-1,212,2,2064,2063
1,1,0,0,10,1,-1,-1,212,1,2063,2362
1,0,0,0,10,-1,-1,-1,211,1,2362,2361
1,0,0,0,10,-1,-1,-1,211,2,2361,2360
