@RELATION textdump.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE score NUMERIC

   @data
25, 20, 13, 9, 11, False, False, True, True, True, West, 4, True, True, False, True, 1, 9, 6, 8, 5, 1, 16, 3, North, West, Stop, North, 10, 6, None, 14, 2, 6, 175
26, 20, 13, 8, 11, False, False, True, True, True, West, 4, True, True, False, True, 1, 10, 6, 8, 5, 1, 16, 4, North, West, Stop, East, 8, 5, None, 16, 2, 7, 174
27, 20, 13, 7, 11, False, False, True, True, True, West, 4, True, True, False, True, 1, 10, 6, 7, 5, 1, 17, 4, North, South, Stop, East, 7, 5, None, 18, 2, 8, 173
28, 20, 13, 6, 11, False, True, True, True, True, West, 4, True, True, False, True, 1, 10, 6, 8, 5, 1, 18, 4, North, North, Stop, East, 6, 3, None, 19, 2, 9, 172
29, 20, 13, 6, 10, True, True, False, True, True, South, 4, True, True, False, True, 1, 9, 5, 8, 5, 1, 18, 4, South, West, Stop, South, 6, 3, None, 19, 2, 8, 171
30, 20, 13, 6, 9, True, True, True, True, True, South, 4, True, True, False, True, 2, 9, 4, 8, 5, 1, 18, 3, East, West, Stop, North, 4, 3, None, 17, 2, 7, 170
31, 20, 13, 6, 8, True, True, True, True, True, South, 4, True, True, False, True, 3, 9, 5, 8, 5, 1, 18, 4, East, East, Stop, South, 4, 1, None, 17, 2, 6, 169
32, 20, 13, 5, 8, True, True, True, True, True, West, 4, True, False, False, True, 4, 9, 3, 1, 5, 1, 18, 3, East, Stop, Stop, North, 2, None, None, 17, 2, 7, 368
33, 20, 13, 4, 8, True, True, True, True, True, West, 4, True, False, False, True, 4, 9, 3, 1, 5, 1, 18, 4, East, Stop, Stop, North, 1, None, None, 17, 2, 8, 367
34, 20, 13, 4, 9, False, True, True, True, True, North, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 18, 5, Stop, Stop, Stop, South, None, None, None, 19, 2, 9, 566
