@RELATION training_keyboard.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE currentTickScore NUMERIC
   @ATTRIBUTE pacman_action {East, North, South, Stop, West, None}
   @ATTRIBUTE nextTickScore NUMERIC

   @data
24, 20, 9, 4, 5, True, False, True, True, True, South, 4, False, True, True, True, 1, 6, 10, 6, 6, 6, 18, 7, North, South, South, South, 4, 7, 3, 15, 62, 1, 777, East, 776
25, 20, 9, 5, 5, False, False, True, True, True, East, 4, False, True, True, True, 1, 5, 10, 6, 6, 6, 18, 6, South, South, South, South, 4, 6, 2, 13, 62, 2, 776, East, 775
26, 20, 9, 6, 5, True, True, True, True, True, East, 4, False, True, True, True, 1, 5, 10, 5, 6, 7, 18, 5, South, South, North, South, 5, 4, 2, 13, 62, 1, 775, North, 874
27, 20, 9, 6, 6, True, True, False, False, True, North, 4, False, True, True, True, 1, 5, 11, 5, 7, 7, 18, 4, South, East, East, South, 6, 6, 2, 15, 61, 1, 874, North, 973
28, 20, 9, 6, 7, False, True, True, False, True, North, 4, False, True, True, True, 2, 5, 11, 5, 7, 7, 18, 3, East, East, East, South, 6, 7, 1, 17, 60, 1, 973, East, 1272
29, 20, 9, 7, 7, False, False, True, True, True, East, 4, False, True, False, True, 2, 5, 10, 5, 5, 1, 18, 2, East, West, Stop, North, 7, 5, -1, 15, 59, 1, 1272, East, 1371
30, 20, 9, 8, 7, False, False, True, True, True, East, 4, False, True, False, True, 1, 5, 10, 5, 4, 1, 18, 3, West, West, West, South, 9, 4, -1, 15, 58, 1, 1371, East, 1470
31, 20, 9, 9, 7, False, True, True, True, True, East, 4, False, True, False, True, 2, 5, 10, 5, 5, 1, 18, 2, East, West, East, North, 9, 3, -1, 13, 57, 1, 1470, South, 1569
32, 20, 9, 9, 6, True, True, True, False, True, South, 4, False, True, False, True, 1, 5, 11, 5, 4, 1, 18, 3, West, East, West, North, 9, 3, -1, 12, 56, 1, 1569, South, 1568
33, 20, 9, 9, 5, True, True, True, True, True, South, 4, False, True, False, True, 1, 4, 10, 5, 3, 1, 18, 3, South, West, West, North, 9, 1, -1, 11, 56, 2, 1568, East, 1767
34, 20, 9, 10, 5, True, False, True, True, True, East, 4, False, False, False, True, 1, 4, 4, 1, 4, 1, 18, 3, South, East, East, North, 10, -1, -1, 10, 56, 1, 1767, East, 1766
35, 20, 9, 11, 5, False, False, False, True, True, East, 4, False, False, False, True, 1, 3, 5, 1, 4, 1, 18, 3, South, East, East, North, 12, -1, -1, 9, 56, 2, 1766, Stop, 1765
36, 20, 9, 11, 5, False, False, False, True, True, East, 4, False, False, False, True, 1, 4, 4, 1, 4, 1, 18, 3, North, West, East, North, 11, -1, -1, 9, 56, 2, 1765, Stop, 1764
37, 20, 9, 11, 5, False, False, False, True, True, East, 4, False, False, False, True, 1, 3, 3, 1, 3, 1, 18, 3, South, West, West, North, 12, -1, -1, 8, 56, 2, 1764, West, 1763
38, 20, 9, 10, 5, True, False, True, True, True, West, 4, False, False, False, True, 1, 4, 3, 2, 3, 2, 18, 4, North, North, North, South, 10, 10, 10, 10, 56, 1, 1763, North, 1862
39, 20, 9, 10, 6, True, True, False, True, True, North, 4, False, False, False, True, 1, 4, 3, 1, 3, 1, 18, 3, North, South, South, South, 11, -1, -1, 12, 55, 1, 1862, North, 1961
40, 20, 9, 10, 7, False, True, True, True, True, North, 4, False, False, False, True, 1, 4, 3, 2, 3, 2, 18, 2, North, North, North, South, 12, 12, 12, 13, 54, 1, 1961, East, 2060
41, 20, 9, 11, 7, False, False, True, True, True, East, 4, False, False, False, True, 1, 5, 3, 1, 3, 2, 18, 2, North, South, North, South, 12, -1, 13, 12, 53, 1, 2060, East, 2159
42, 20, 9, 12, 7, False, False, True, True, True, East, 4, False, False, False, True, 2, 5, 4, 1, 3, 2, 18, 2, East, East, North, South, 12, -1, 14, -1, 52, 1, 2159, East, 2258
