@RELATION training_tutorial1.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE currentTickScore NUMERIC
   @ATTRIBUTE pacman_action {East, North, South, Stop, West, None}
   @ATTRIBUTE nextTickScore NUMERIC

   @data
24, 25, 14, 11, 4, True, True, True, True, True, East, 4, False, False, True, True, 1, 1, 3, 1, 17, 11, 21, 9, Stop, Stop, East, West, -1, -1, 13, 14, 109, 1, 1577, East, 1676
25, 25, 14, 12, 4, True, True, True, True, True, East, 4, False, False, True, True, 1, 1, 3, 1, 17, 10, 20, 9, Stop, Stop, South, East, -1, -1, 11, 14, 108, 1, 1676, East, 1675
26, 25, 14, 13, 4, True, True, True, True, True, East, 4, False, False, True, True, 1, 1, 3, 1, 16, 10, 21, 9, Stop, Stop, West, East, -1, -1, 9, 13, 108, 2, 1675, East, 1674
27, 25, 14, 14, 4, True, True, True, True, True, East, 4, False, False, True, True, 1, 1, 3, 1, 16, 10, 21, 9, Stop, Stop, West, East, -1, -1, 8, 13, 108, 1, 1674, East, 1773
28, 25, 14, 15, 4, True, True, True, True, True, East, 4, False, False, True, True, 1, 1, 3, 1, 16, 9, 22, 9, Stop, Stop, South, North, -1, -1, 6, 13, 107, 1, 1773, East, 1872
29, 25, 14, 16, 4, True, True, True, True, True, East, 4, False, False, True, True, 1, 1, 3, 1, 16, 8, 22, 10, Stop, Stop, South, East, -1, -1, 4, 13, 106, 1, 1872, North, 1971
30, 25, 14, 16, 5, True, True, True, True, True, North, 4, False, False, True, True, 1, 1, 3, 1, 16, 8, 23, 10, Stop, Stop, South, South, -1, -1, 3, 11, 105, 1, 1971, North, 1970
31, 25, 14, 16, 6, True, True, True, True, True, North, 4, False, False, True, True, 1, 1, 3, 1, 15, 8, 23, 9, Stop, Stop, West, West, -1, -1, 3, 9, 105, 1, 1970, West, 1969
32, 25, 14, 15, 6, True, True, True, True, True, West, 4, False, False, True, True, 1, 1, 3, 1, 15, 9, 22, 9, Stop, Stop, North, South, -1, -1, 3, 9, 105, 1, 1969, North, 2068
33, 25, 14, 15, 7, True, True, True, True, True, North, 4, False, False, True, True, 1, 1, 3, 1, 15, 9, 22, 8, Stop, Stop, North, North, -1, -1, 2, 9, 104, 1, 2068, North, 2367
