@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R2-3,11-12,25-34'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
19,9,6,True,True,True,True,True,True,False,False,True,7,4,3,1,5,1,18,7,382,South
20,9,5,True,True,True,True,True,True,False,False,True,7,5,3,1,5,1,18,8,381,West
21,8,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,8,580,West
22,7,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,8,579,West
23,6,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,9,578,South
24,6,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,9,577,East
25,7,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,8,576,East
26,8,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,9,575,East
27,9,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,8,574,East
28,10,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,8,573,North
29,10,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,8,572,East
30,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,9,571,East
31,12,5,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,10,570,East
32,13,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,11,569,East
33,14,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,11,568,North
34,14,6,True,True,False,False,True,False,False,False,True,1,1,3,1,5,1,18,11,567,North
35,14,7,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,11,566,North
36,14,8,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,11,565,North
37,14,9,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,11,564,North
38,14,10,True,True,False,False,True,False,False,False,True,1,1,3,1,5,1,15,11,663,North
39,14,11,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,11,662,East
40,15,11,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,17,11,661,East
41,16,11,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,11,660,East
42,17,11,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,11,659,East
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,6,4,7,9,9,11,14,6,-1,Stop
3,1,11,False,True,True,False,True,True,True,True,True,5,4,7,8,8,11,14,5,-2,Stop
4,1,11,False,True,True,False,True,True,True,True,True,5,4,8,8,8,11,15,5,-3,East
5,2,11,False,False,True,True,True,True,True,True,True,6,4,8,9,9,11,16,5,-4,East
6,3,11,False,False,True,True,True,True,True,True,True,6,3,7,9,8,11,15,5,-5,East
7,4,11,False,False,True,True,True,True,True,True,True,6,4,7,8,8,11,15,4,-6,East
8,5,11,False,True,True,True,True,True,True,True,True,6,3,6,8,9,11,15,4,-7,East
9,6,11,False,True,True,True,True,True,True,True,True,6,3,5,8,8,11,14,4,-8,East
10,7,11,False,False,True,True,True,True,True,False,True,6,4,5,8,5,1,14,3,191,East
11,8,11,False,False,True,True,True,True,True,False,True,7,4,5,8,5,1,13,3,190,East
