@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R2-3,11-12,25-34'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
9,5,10,True,True,True,False,True,True,False,False,True,7,3,3,1,5,1,13,5,392,Stop
10,5,10,True,True,True,False,True,True,False,False,True,7,3,3,1,5,1,13,5,391,Stop
11,5,10,True,True,True,False,True,True,False,False,True,8,3,3,1,5,1,13,5,390,South
12,5,9,True,True,True,True,True,True,False,False,True,7,3,3,1,5,1,13,4,389,South
13,5,8,True,True,True,True,True,True,False,False,True,8,3,3,1,5,1,13,5,388,East
14,6,8,True,True,True,True,True,True,False,False,True,9,3,3,1,5,1,13,4,387,East
15,7,8,True,True,True,True,True,True,False,False,True,9,3,3,1,5,1,13,4,386,East
16,8,8,True,True,True,True,True,True,False,False,True,9,4,3,1,5,1,13,3,385,South
17,8,7,True,True,True,True,True,True,False,False,True,9,4,3,1,5,1,13,3,384,South
18,8,6,True,True,True,False,True,True,False,False,True,9,3,3,1,5,1,14,3,383,South
19,8,5,True,True,True,True,True,True,False,False,True,9,3,3,1,5,1,15,3,382,South
20,8,4,True,True,True,True,True,True,False,False,True,10,3,3,1,5,1,15,3,381,East
21,9,4,True,True,True,True,True,True,False,False,True,11,3,3,1,5,1,15,3,380,East
22,10,4,True,True,True,True,True,True,False,False,True,10,3,3,1,5,1,16,3,379,East
23,11,4,True,True,False,True,True,True,False,False,True,10,4,3,1,5,1,17,3,378,Stop
24,11,4,True,True,False,True,True,False,False,False,True,1,1,3,1,5,1,16,3,577,South
25,11,3,True,False,False,True,True,False,False,False,True,1,1,3,1,5,1,16,3,576,West
26,10,3,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,15,3,575,North
27,10,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,3,574,North
28,10,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,3,573,East
29,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,15,3,572,East
30,12,5,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,14,3,571,East
31,13,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,15,3,570,East
32,14,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,15,3,569,East
33,15,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,3,568,South
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,5,5,6,8,9,11,14,6,-1,East
3,2,11,False,False,True,True,True,True,True,True,True,6,5,5,8,9,11,14,6,-2,East
4,3,11,False,False,True,True,True,True,True,True,True,6,4,6,8,8,11,14,5,-3,East
5,4,11,False,False,True,True,True,True,True,True,True,7,4,6,9,9,11,14,5,-4,East
6,5,11,False,True,True,True,True,True,True,True,True,6,4,5,9,8,11,14,5,-5,East
7,6,11,False,True,True,True,True,True,True,True,True,6,5,5,10,7,11,15,5,-6,East
8,7,11,False,False,True,True,True,True,True,False,True,6,5,5,11,5,1,14,5,193,East
9,8,11,False,False,True,True,True,True,True,False,True,7,5,4,11,5,1,15,5,192,West
10,7,11,False,False,True,True,True,True,True,False,True,7,4,4,11,5,1,15,4,191,West
11,6,11,False,True,True,True,True,True,True,False,True,7,5,3,11,5,1,15,3,190,West
12,5,11,False,True,True,True,True,True,True,False,True,8,5,4,11,5,1,14,3,189,West
13,4,11,False,False,True,True,True,True,False,False,True,8,4,3,1,5,1,15,3,388,West
14,3,11,False,False,True,True,True,True,False,False,True,8,4,3,1,5,1,16,3,387,West
15,2,11,False,False,True,True,True,True,False,False,True,8,4,3,1,5,1,16,4,386,West
16,1,11,False,True,True,False,True,True,False,False,True,7,4,3,1,5,1,16,3,385,East
17,2,11,False,False,True,True,True,True,False,False,True,8,4,3,1,5,1,15,3,384,East
18,3,11,False,False,True,True,True,True,False,False,True,7,4,3,1,5,1,16,3,383,East
19,4,11,False,False,True,True,True,True,False,False,True,8,4,3,1,5,1,16,3,382,East
20,5,11,False,True,True,True,True,True,False,False,True,8,3,3,1,5,1,17,3,381,South
21,5,10,True,True,True,False,True,True,False,False,True,8,3,3,1,5,1,17,3,380,South
22,5,9,True,True,True,True,True,True,False,False,True,9,3,3,1,5,1,17,4,379,East
23,6,9,True,True,True,True,True,True,False,False,True,9,3,3,1,5,1,17,5,378,East
24,7,9,False,True,True,True,True,True,False,False,True,8,3,3,1,5,1,17,5,377,South
25,7,8,True,True,True,True,True,True,False,False,True,8,3,3,1,5,1,18,5,376,South
26,7,7,True,False,True,True,True,True,False,False,True,8,3,3,1,5,1,18,5,375,Stop
27,7,7,True,False,True,True,True,True,False,False,True,7,3,3,1,5,1,18,5,374,East
28,8,7,True,True,True,True,True,True,False,False,True,7,4,3,1,5,1,17,5,373,South
29,8,6,True,True,True,False,True,True,False,False,True,8,4,3,1,5,1,17,5,372,South
30,8,5,True,True,True,True,True,True,False,False,True,8,3,3,1,5,1,17,5,371,West
31,7,5,False,True,True,True,True,True,False,False,True,9,3,3,1,5,1,18,5,370,West
32,6,5,False,True,True,True,True,True,False,False,True,9,4,3,1,5,1,18,6,369,South
33,6,4,True,True,True,True,True,True,False,False,True,9,3,3,1,5,1,18,5,368,East
34,7,4,True,True,True,True,True,True,False,False,True,10,3,3,1,5,1,18,4,367,East
35,8,4,True,True,True,True,True,True,False,False,True,9,3,3,1,5,1,18,3,366,East
36,9,4,True,True,True,True,True,True,False,False,True,8,3,3,1,5,1,17,3,365,East
37,10,4,True,True,True,True,True,True,False,False,True,7,3,3,1,5,1,17,4,364,South
38,10,3,True,False,True,True,True,True,False,False,True,8,3,3,1,5,1,17,3,363,West
39,9,3,True,False,True,True,True,True,False,False,True,8,3,3,1,5,1,16,3,362,West
40,8,3,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,16,4,561,North
41,8,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,5,560,North
42,8,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,5,559,East
43,9,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,5,558,East
44,10,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,5,557,East
45,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,5,556,East
46,12,5,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,4,555,East
47,13,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,4,554,East
48,14,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,4,553,East
49,15,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,3,552,East
50,16,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,3,551,East
51,17,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,3,550,South
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,6,4,6,9,9,11,14,6,-1,East
3,2,11,False,False,True,True,True,True,True,True,True,6,5,6,8,10,11,14,7,-2,East
4,3,11,False,False,True,True,True,True,True,True,True,5,5,6,9,9,11,14,8,-3,East
5,4,11,False,False,True,True,True,True,True,True,True,4,5,6,10,8,11,14,9,-4,East
6,5,11,False,True,True,True,True,True,True,True,True,5,5,6,11,8,11,14,10,-5,East
7,6,11,False,True,True,True,True,True,False,True,True,5,4,3,1,8,11,14,9,194,East
8,7,11,False,False,True,True,True,True,False,True,True,4,4,3,1,9,11,14,9,193,East
9,8,11,False,False,True,True,True,True,False,True,True,4,3,3,1,9,11,13,9,192,East
10,9,11,False,False,True,True,True,True,False,False,True,3,3,3,1,5,1,13,9,391,East
11,10,11,False,True,True,True,True,True,False,False,True,3,4,3,1,5,1,13,9,390,South
12,10,10,True,True,True,False,True,True,False,False,True,2,4,3,1,5,1,14,9,389,South
13,10,9,True,True,True,True,True,True,False,False,True,1,4,3,1,5,1,13,9,388,East
14,11,9,True,False,True,True,True,True,False,False,True,1,4,3,1,5,1,13,8,387,East
15,12,9,False,True,True,True,True,True,False,False,True,1,5,3,1,5,1,13,7,386,East
16,13,9,False,True,True,True,True,True,False,False,True,1,6,3,1,5,1,13,7,385,South
17,13,8,True,True,True,True,True,True,False,False,True,1,6,3,1,5,1,13,7,384,South
18,13,7,True,False,True,True,True,True,False,False,False,1,6,3,1,5,1,12,7,583,Stop
19,13,7,True,False,True,True,True,True,False,False,False,1,6,3,1,5,1,7,1,582,West
20,12,7,True,False,True,False,True,True,False,False,False,1,5,3,1,5,1,7,1,581,Stop
21,12,7,True,False,True,False,True,True,False,False,False,1,5,3,1,5,1,7,1,580,North
22,12,8,True,True,True,False,True,True,False,False,False,1,5,3,1,5,1,7,1,579,North
23,12,9,False,True,True,True,True,True,False,False,False,1,5,3,1,5,1,7,1,578,West
24,11,9,True,False,True,True,True,True,False,False,False,1,4,3,1,5,1,7,1,577,West
25,10,9,True,True,True,True,True,True,False,False,False,1,4,3,1,5,1,7,1,576,West
26,9,9,False,True,True,True,True,True,False,False,False,2,4,3,1,5,1,7,1,575,West
27,8,9,False,True,True,True,True,True,False,False,False,3,4,3,1,5,1,7,1,574,South
28,8,8,True,True,True,True,True,True,False,False,False,3,4,3,1,5,1,7,1,573,South
29,8,7,True,True,True,True,True,True,False,False,False,3,4,3,1,5,1,7,1,572,South
30,8,6,True,True,True,False,True,True,False,False,False,3,3,3,1,5,1,7,1,571,South
31,8,5,True,True,True,True,True,True,False,False,False,4,3,3,1,5,1,7,1,570,West
32,7,5,False,True,True,True,True,True,False,False,False,4,3,3,1,5,1,7,1,569,West
33,6,5,False,True,True,True,True,True,False,False,False,5,3,3,1,5,1,7,1,568,South
34,6,4,True,True,True,True,True,True,False,False,False,4,3,3,1,5,1,7,1,567,South
35,6,3,True,False,True,True,True,True,False,False,False,5,3,3,1,5,1,7,1,566,West
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,7,5,6,8,7,11,14,6,-1,East
3,2,11,False,False,True,True,True,True,True,True,True,6,5,7,8,8,11,14,7,-2,East
4,3,11,False,False,True,True,True,True,True,True,True,7,5,8,8,9,11,15,7,-3,East
5,4,11,False,False,True,True,True,True,True,True,True,6,5,8,7,8,11,15,7,-4,East
6,5,11,False,True,True,True,True,True,True,True,True,7,5,7,7,7,11,15,8,-5,East
7,6,11,False,True,True,True,True,True,True,True,True,6,5,8,7,7,11,15,7,-6,East
8,7,11,False,False,True,True,True,True,True,False,True,7,5,8,7,5,1,15,8,193,East
9,8,11,False,False,True,True,True,True,True,False,True,7,4,8,7,5,1,15,8,192,East
10,9,11,False,False,True,True,True,True,True,False,True,7,3,7,7,5,1,15,7,191,East
11,10,11,False,True,True,True,True,True,True,False,True,7,4,6,7,5,1,15,7,190,South
12,10,10,True,True,True,False,True,True,True,False,True,6,4,7,7,5,1,14,7,189,South
13,10,9,True,True,True,True,True,True,True,False,True,5,4,7,7,5,1,15,7,188,East
14,11,9,True,False,True,True,True,True,True,False,True,6,4,6,7,5,1,15,8,187,East
15,12,9,False,True,True,True,True,True,True,False,True,5,4,6,7,5,1,16,8,186,South
16,12,8,True,True,True,False,True,True,True,False,True,6,4,5,7,5,1,16,7,185,South
17,12,7,True,False,True,False,True,True,True,False,True,6,3,5,7,5,1,16,8,184,East
18,13,7,True,False,True,True,True,True,True,False,True,6,4,4,7,5,1,16,7,183,East
19,14,7,True,True,True,True,True,True,True,False,True,7,4,3,7,5,1,16,7,182,East
20,15,7,True,False,True,True,True,True,True,False,True,7,5,2,7,5,1,17,7,181,East
21,16,7,True,False,True,True,True,True,True,False,True,6,5,1,7,5,1,17,7,180,East
22,17,7,True,False,True,True,True,True,True,False,True,7,5,1,6,5,1,17,8,179,East
23,18,7,True,True,False,True,True,True,True,False,True,7,5,1,5,5,1,17,8,178,North
24,18,8,True,True,False,True,True,True,True,False,True,8,5,1,6,5,1,17,8,177,West
25,17,8,True,True,True,True,True,True,True,False,False,7,5,1,7,5,1,17,9,376,West
26,16,8,True,True,True,True,True,True,True,False,False,8,5,1,8,5,1,7,1,375,West
27,15,8,True,True,True,True,True,True,True,False,False,9,5,1,9,5,1,7,1,374,North
28,15,9,False,True,True,True,True,True,True,False,False,9,4,1,9,5,1,7,1,373,West
29,14,9,True,True,True,True,True,True,True,False,False,9,3,1,8,5,1,7,1,372,West
30,13,9,False,True,True,True,True,True,True,False,False,8,3,1,9,5,1,7,1,371,West
31,12,9,False,True,True,True,True,True,True,False,False,7,3,1,10,5,1,7,1,370,West
32,11,9,True,False,True,True,True,True,True,False,False,8,3,1,11,5,1,7,1,369,West
33,10,9,True,True,True,True,True,True,True,False,False,7,3,1,10,5,1,7,1,368,West
34,9,9,False,True,True,True,True,True,True,False,False,7,4,1,9,5,1,7,1,367,West
35,8,9,False,True,True,True,True,True,True,False,False,7,3,1,10,5,1,7,1,366,West
36,7,9,False,True,True,True,True,True,True,False,False,6,3,1,10,5,1,7,1,365,West
37,6,9,True,True,True,True,True,True,True,False,False,5,3,1,9,5,1,7,1,364,West
38,5,9,True,True,True,True,True,True,True,False,False,4,3,1,10,5,1,7,1,363,West
39,4,9,False,True,True,True,True,True,True,False,False,5,3,1,11,5,1,7,1,362,West
40,3,9,False,True,True,True,True,True,True,False,False,6,3,2,11,5,1,7,1,361,West
41,2,9,False,True,True,True,True,True,True,False,False,6,3,2,11,5,1,7,1,360,West
42,1,9,True,True,True,False,True,True,True,False,False,7,3,1,11,5,1,7,1,359,North
43,1,10,True,True,False,False,True,True,True,False,False,7,3,1,11,5,1,7,1,358,North
44,1,11,False,True,True,False,True,True,False,False,False,8,3,3,1,5,1,7,1,557,East
45,2,11,False,False,True,True,True,True,False,False,False,9,3,3,1,5,1,7,1,556,East
46,3,11,False,False,True,True,True,True,False,False,False,9,3,3,1,5,1,7,1,555,East
47,4,11,False,False,True,True,True,True,False,False,False,9,3,3,1,5,1,7,1,554,East
48,5,11,False,True,True,True,True,True,False,False,False,8,3,3,1,5,1,7,1,553,South
49,5,10,True,True,True,False,True,True,False,False,False,8,4,3,1,5,1,7,1,552,South
50,5,9,True,True,True,True,True,True,False,False,False,7,4,3,1,5,1,7,1,551,East
51,6,9,True,True,True,True,True,True,False,False,False,7,4,3,1,5,1,7,1,550,East
52,7,9,False,True,True,True,True,True,False,False,False,7,4,3,1,5,1,7,1,549,East
53,8,9,False,True,True,True,True,True,False,False,False,6,4,3,1,5,1,7,1,548,South
54,8,8,True,True,True,True,True,True,False,False,False,6,3,3,1,5,1,7,1,547,South
55,8,7,True,True,True,True,True,True,False,False,False,6,3,3,1,5,1,7,1,546,South
56,8,6,True,True,True,False,True,True,False,False,False,6,4,3,1,5,1,7,1,545,South
57,8,5,True,True,True,True,True,True,False,False,False,6,3,3,1,5,1,7,1,544,South
58,8,4,True,True,True,True,True,True,False,False,False,7,3,3,1,5,1,7,1,543,West
59,7,4,True,True,True,True,True,True,False,False,False,8,3,3,1,5,1,7,1,542,West
60,6,4,True,True,True,True,True,True,False,False,False,9,3,3,1,5,1,7,1,541,South
61,6,3,True,False,True,True,True,True,False,False,False,9,4,3,1,5,1,7,1,540,East
62,7,3,True,False,True,True,True,True,False,False,False,9,4,3,1,5,1,7,1,539,East
63,8,3,True,False,True,True,True,True,False,False,False,9,4,3,1,5,1,7,1,538,East
64,9,3,True,False,True,True,True,True,False,False,False,10,4,3,1,5,1,7,1,537,North
65,9,4,True,True,True,True,True,True,False,False,False,10,3,3,1,5,1,7,1,536,North
66,9,5,True,True,True,True,True,True,False,False,False,9,3,3,1,5,1,7,1,535,East
67,10,5,True,True,True,True,True,True,False,False,False,8,3,3,1,5,1,7,1,534,East
68,11,5,False,True,True,True,True,True,False,False,False,7,3,3,1,5,1,7,1,533,South
69,11,4,True,True,False,True,True,True,False,False,False,8,3,3,1,5,1,7,1,532,South
70,11,3,True,False,False,True,True,True,False,False,False,8,3,3,1,5,1,7,1,531,West
71,10,3,True,False,True,True,True,True,False,False,False,8,4,3,1,5,1,7,1,530,West
72,9,3,True,False,True,True,True,True,False,False,False,7,4,3,1,5,1,7,1,529,West
73,8,3,True,False,True,True,True,True,False,False,False,7,5,3,1,5,1,7,1,528,North
74,8,4,True,True,True,True,True,True,False,False,False,8,5,3,1,5,1,7,1,527,North
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,7,5,6,8,9,11,14,6,-1,East
3,2,11,False,False,True,True,True,True,True,True,True,6,5,7,8,10,11,14,7,-2,East
4,3,11,False,False,True,True,True,True,True,True,True,6,5,7,7,10,10,14,7,-3,East
5,4,11,False,False,True,True,True,True,True,True,True,6,5,6,7,10,11,13,7,-4,East
6,5,11,False,True,True,True,True,True,True,True,True,6,5,5,7,10,11,12,7,-5,East
7,6,11,False,True,True,True,True,True,True,True,True,7,5,5,8,11,11,12,8,-6,South
8,6,10,True,True,False,True,True,True,True,True,True,7,4,4,8,12,11,13,8,-7,South
9,6,9,True,True,True,True,True,True,True,True,True,7,4,4,7,13,11,13,9,-8,South
10,6,8,True,True,True,True,True,True,True,True,True,6,4,3,7,13,11,13,8,-9,West
11,5,8,True,True,True,True,True,True,True,True,True,6,3,2,7,14,11,12,8,-10,South
12,5,7,True,False,True,True,True,True,True,True,True,7,3,2,7,15,11,13,8,-11,Stop
13,5,7,True,False,True,True,True,True,True,True,True,7,4,2,8,14,11,13,9,-12,West
14,4,7,True,False,True,True,True,True,True,True,True,8,4,2,8,14,10,14,9,-13,West
15,3,7,True,False,True,True,True,True,True,True,True,9,4,3,8,14,9,14,8,-14,West
16,2,7,True,False,True,True,True,True,True,True,True,9,5,4,8,14,9,15,8,-15,North
17,2,8,True,True,True,True,True,True,True,True,True,9,6,4,7,14,10,15,9,-16,East
18,3,8,True,True,True,True,True,True,True,True,True,9,7,4,7,14,10,16,9,-17,East
19,4,8,True,True,True,True,True,True,True,True,True,9,8,4,7,14,9,15,9,-18,East
20,5,8,True,True,True,True,True,True,True,True,True,9,8,4,7,14,10,15,9,-19,South
21,5,7,True,False,True,True,True,True,True,True,True,9,9,4,8,14,11,16,9,-20,West
22,4,7,True,False,True,True,True,True,True,True,True,9,8,3,8,14,10,16,8,-21,West
23,3,7,True,False,True,True,True,True,True,True,True,8,8,2,8,14,11,17,8,-22,North
24,3,8,True,True,True,True,True,True,True,True,True,8,7,1,8,14,11,16,8,-23,North
25,3,9,False,True,True,True,True,True,True,True,True,8,7,1,8,14,11,17,8,-24,West
26,2,9,False,True,True,True,True,True,True,True,True,8,6,1,9,14,10,17,7,-25,South
27,2,8,True,True,True,True,True,True,True,True,True,9,6,1,9,14,11,18,7,-26,South
28,2,7,True,False,True,True,True,True,True,True,True,8,6,1,9,14,11,18,7,-27,West
29,1,7,True,True,True,False,True,True,True,True,True,8,7,1,10,13,11,17,7,-28,North
30,1,8,True,True,True,False,True,True,True,True,True,8,7,1,10,12,11,17,8,-29,North
31,1,9,True,True,True,False,True,True,True,True,True,8,8,1,10,13,11,17,7,-30,North
32,1,10,True,True,False,False,True,True,False,True,True,7,8,3,1,14,11,17,7,169,North
33,1,11,False,True,True,False,True,True,False,True,True,8,8,3,1,15,11,17,7,168,East
34,2,11,False,False,True,True,True,True,False,True,True,8,9,3,1,16,11,18,7,167,East
35,3,11,False,False,True,True,True,True,False,True,True,8,8,3,1,15,11,18,8,166,East
36,4,11,False,False,True,True,True,True,False,True,True,7,8,3,1,14,11,17,8,165,East
37,5,11,False,True,True,True,True,True,False,True,True,6,8,3,1,14,11,18,8,164,South
38,5,10,True,True,True,False,True,True,False,True,True,6,8,3,1,14,10,17,8,163,South
39,5,9,True,True,True,True,True,True,False,True,True,5,8,3,1,14,9,17,9,162,South
40,5,8,True,True,True,True,True,False,False,True,True,1,1,3,1,14,8,16,9,361,East
41,6,8,True,True,True,True,True,False,False,True,True,1,1,3,1,14,9,16,9,360,East
42,7,8,True,True,True,True,True,False,False,True,True,1,1,3,1,14,10,17,9,359,East
43,8,8,True,True,True,True,True,False,False,True,True,1,1,3,1,14,9,17,9,358,North
44,8,9,False,True,True,True,True,False,False,True,True,1,1,3,1,15,9,16,9,357,East
45,9,9,False,True,True,True,True,False,False,True,True,1,1,3,1,16,9,16,8,356,East
46,10,9,True,True,True,True,True,False,False,True,True,1,1,3,1,17,9,16,8,355,East
47,11,9,True,False,True,True,True,False,False,True,True,1,1,3,1,16,9,17,8,354,East
48,12,9,False,True,True,True,True,False,False,True,True,1,1,3,1,16,8,18,8,353,East
49,13,9,False,True,True,True,True,False,False,True,True,1,1,3,1,17,8,18,8,352,East
50,14,9,True,True,True,True,True,False,False,True,True,1,1,3,1,17,7,18,7,351,East
51,15,9,False,True,True,True,True,False,False,True,True,1,1,3,1,18,7,17,7,350,East
52,16,9,False,True,True,True,True,False,False,True,True,1,1,3,1,18,8,18,7,349,East
53,17,9,False,True,True,True,True,False,False,True,True,1,1,3,1,17,8,18,6,348,South
54,17,8,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,18,5,547,South
55,17,7,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,17,5,546,Stop
56,17,7,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,5,545,East
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,7,5,6,10,8,11,14,6,-1,Stop
3,1,11,False,True,True,False,True,True,True,True,True,7,5,6,11,7,11,14,7,-2,Stop
4,1,11,False,True,True,False,True,True,True,True,True,8,5,6,11,8,11,13,7,-3,Stop
5,1,11,False,True,True,False,True,True,True,True,True,7,5,6,11,9,11,13,7,-4,Stop
6,1,11,False,True,True,False,True,True,True,True,True,6,5,6,10,8,11,12,7,-5,East
7,2,11,False,False,True,True,True,True,True,True,True,6,5,6,10,9,11,12,8,-6,East
8,3,11,False,False,True,True,True,True,True,True,True,6,4,6,10,9,11,13,8,-7,East
9,4,11,False,False,True,True,True,True,True,True,True,7,4,5,10,8,11,12,8,-8,East
10,5,11,False,True,True,True,True,True,True,True,True,7,4,5,9,7,11,12,7,-9,East
11,6,11,False,True,True,True,True,True,True,True,True,7,4,5,8,8,11,12,8,-10,East
12,7,11,False,False,True,True,True,True,True,True,True,7,3,6,8,8,11,13,8,-11,East
13,8,11,False,False,True,True,True,True,True,False,True,7,3,6,8,5,1,14,8,188,East
14,9,11,False,False,True,True,True,True,True,False,True,6,3,5,8,5,1,15,8,187,East
15,10,11,False,True,True,True,True,True,True,False,True,5,3,4,8,5,1,15,7,186,South
16,10,10,True,True,True,False,True,True,True,False,True,4,3,4,7,5,1,15,7,185,South
17,10,9,True,True,True,True,True,True,True,False,True,5,3,4,8,5,1,14,7,184,West
18,9,9,False,True,True,True,True,True,True,False,True,6,3,4,9,5,1,13,7,183,West
19,8,9,False,True,True,True,True,True,True,False,True,6,4,4,9,5,1,12,7,182,West
20,7,9,False,True,True,True,True,True,True,False,True,7,4,4,9,5,1,12,7,181,West
21,6,9,True,True,True,True,True,True,True,False,True,7,5,5,9,5,1,12,8,180,West
22,5,9,True,True,True,True,True,True,False,False,True,7,5,3,1,5,1,13,8,379,West
23,4,9,False,True,True,True,True,True,False,False,True,8,5,3,1,5,1,13,9,378,West
24,3,9,False,True,True,True,True,True,False,False,True,8,4,3,1,5,1,12,9,377,West
25,2,9,False,True,True,True,True,True,False,False,True,7,4,3,1,5,1,12,8,376,South
26,2,8,True,True,True,True,True,True,False,False,True,8,4,3,1,5,1,12,9,375,South
27,2,7,True,False,True,True,True,True,False,False,True,7,4,3,1,5,1,12,8,374,West
28,1,7,True,True,True,False,True,True,False,False,True,7,3,3,1,5,1,12,8,373,South
29,1,6,True,True,False,False,True,True,False,False,True,6,3,3,1,5,1,13,8,372,South
30,1,5,True,True,True,False,True,True,False,False,True,6,4,3,1,5,1,13,9,371,East
31,2,5,False,True,True,True,True,True,False,False,True,6,4,3,1,5,1,12,9,370,East
32,3,5,False,True,True,True,True,True,False,False,True,6,3,3,1,5,1,12,9,369,East
33,4,5,False,True,True,True,True,True,False,False,True,6,3,3,1,5,1,11,9,368,East
34,5,5,False,True,True,True,True,True,False,False,True,6,4,3,1,5,1,10,9,367,East
35,6,5,False,True,True,True,True,True,False,False,True,7,4,3,1,5,1,11,9,366,South
36,6,4,True,True,True,True,True,True,False,False,True,7,3,3,1,5,1,10,9,365,East
37,7,4,True,True,True,True,True,True,False,False,True,7,3,3,1,5,1,10,8,364,East
38,8,4,True,True,True,True,True,True,False,False,True,7,3,3,1,5,1,10,7,363,East
39,9,4,True,True,True,True,True,True,False,False,True,6,3,3,1,5,1,10,7,362,South
40,9,3,True,False,True,True,True,True,False,False,True,7,3,3,1,5,1,10,7,361,West
41,8,3,True,False,True,True,True,True,False,False,True,6,3,3,1,5,1,10,7,360,West
42,7,3,True,False,True,True,True,True,False,False,True,6,4,3,1,5,1,9,7,359,North
43,7,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,8,7,558,North
44,7,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,8,6,557,West
45,6,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,8,7,556,West
46,5,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,8,8,555,East
47,6,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,8,9,554,East
48,7,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,7,9,553,East
49,8,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,8,9,552,North
50,8,6,True,True,True,False,True,False,False,False,True,1,1,3,1,5,1,7,9,551,North
51,8,7,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,7,8,550,North
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,5,5,6,9,9,11,14,6,-1,Stop
3,1,11,False,True,True,False,True,True,True,True,True,5,5,6,9,8,11,14,7,-2,East
4,2,11,False,False,True,True,True,True,True,True,True,5,5,6,9,9,11,13,7,-3,East
5,3,11,False,False,True,True,True,True,True,True,True,6,5,6,8,10,11,13,8,-4,East
6,4,11,False,False,True,True,True,True,True,True,True,7,5,5,8,10,11,13,8,-5,East
7,5,11,False,True,True,True,True,True,True,True,True,7,5,5,7,9,11,12,8,-6,East
8,6,11,False,True,True,True,True,True,True,True,True,7,4,5,8,9,11,12,8,-7,East
9,7,11,False,False,True,True,True,True,True,True,True,8,4,5,8,8,11,12,9,-8,East
10,8,11,False,False,True,True,True,True,True,False,True,8,4,6,8,5,1,12,8,191,East
11,9,11,False,False,True,True,True,True,True,False,True,8,3,6,7,5,1,12,8,190,West
12,8,11,False,False,True,True,True,True,True,False,True,7,3,6,7,5,1,12,8,189,West
13,7,11,False,False,True,True,True,True,True,False,True,8,3,6,7,5,1,12,8,188,West
14,6,11,False,True,True,True,True,True,True,False,True,8,4,6,7,5,1,12,8,187,South
15,6,10,True,True,False,True,True,True,True,False,True,8,3,6,7,5,1,12,9,186,South
