@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,1,1,1,3,6,6,12,68,1,-4,-5
1,1,1,1,3,5,6,13,68,1,-5,94
1,1,1,1,4,5,7,15,67,1,94,93
1,1,1,1,4,5,6,14,67,2,93,92
1,1,1,1,2,5,5,13,67,2,92,91
1,1,1,1,3,6,4,12,67,2,91,90
1,1,1,1,3,5,3,12,67,3,90,89
1,1,1,1,2,3,3,11,67,2,89,88
1,1,1,1,1,2,1,10,67,1,88,187
1,1,1,1,1,1,1,10,66,1,187,286
1,1,1,1,2,1,1,12,65,1,286,685
1,0,0,1,1,-1,-1,12,65,1,685,684
1,0,0,1,1,-1,-1,12,65,2,684,683
1,0,0,1,1,10,-1,11,65,1,683,682
1,0,0,1,1,-1,-1,9,65,2,682,681
1,0,0,1,2,-1,-1,8,65,2,681,680
1,0,0,1,2,11,8,9,65,2,680,879
0,0,0,1,-1,9,6,10,65,1,879,878
0,0,0,1,-1,7,6,12,65,2,878,877
0,0,0,1,-1,9,7,12,65,1,877,876
0,0,0,1,13,9,7,14,65,1,876,975
0,0,0,1,13,11,8,-1,64,1,975,1074
0,0,0,1,14,13,10,12,63,1,1074,1173
0,0,0,1,16,-1,12,-1,62,1,1173,1272
0,0,0,1,16,-1,13,-1,61,1,1272,1271
0,0,0,1,17,-1,14,-1,61,1,1271,1270
0,0,0,1,17,-1,13,-1,61,1,1270,1369
0,0,0,1,16,14,12,-1,60,1,1369,1468
0,0,0,1,14,13,12,-1,59,1,1468,1567
0,0,0,1,16,-1,13,-1,58,1,1567,1666
0,0,0,1,-1,-1,13,-1,57,1,1666,1765
0,0,0,1,18,-1,14,-1,56,1,1765,1864
0,0,0,1,-1,-1,15,5,55,1,1864,1963
0,0,0,1,20,-1,17,5,54,1,1963,2062
0,0,0,1,18,-1,15,5,53,1,2062,2161
0,0,0,1,18,-1,17,-1,52,1,2161,2260
0,0,0,1,18,-1,18,3,51,1,2260,2359
0,0,0,1,19,-1,19,-1,50,1,2359,2358
0,0,0,1,19,13,18,-1,50,1,2358,2457
0,0,0,1,18,12,16,-1,49,1,2457,2656
1,1,1,1,5,5,6,14,68,1,0,-1
1,1,1,1,6,6,5,13,68,1,-1,-2
1,1,1,1,6,5,6,12,68,1,-2,-3
1,1,1,1,6,6,7,12,68,1,-3,-4
1,1,1,1,5,7,7,12,68,1,-4,-5
1,1,1,1,6,6,6,11,68,1,-5,-6
1,1,1,1,7,7,5,11,68,1,-6,93
1,1,1,1,7,9,6,13,67,1,93,92
1,1,1,1,5,8,5,13,67,2,92,91
1,1,1,1,3,6,3,13,67,2,91,90
1,1,1,1,5,6,3,11,67,3,90,89
1,1,1,1,5,4,2,9,67,2,89,88
1,1,1,1,3,2,2,7,67,1,88,87
1,1,1,1,3,2,4,9,67,2,87,86
1,1,1,1,2,2,4,9,67,1,86,185
1,1,1,1,1,3,4,10,66,1,185,484
0,1,1,1,-1,5,4,11,65,1,484,583
0,1,1,1,-1,6,4,12,64,1,583,682
0,1,1,1,-1,7,6,12,63,1,682,781
0,1,1,1,-1,8,8,13,62,1,781,780
0,1,1,1,8,7,9,12,62,1,780,779
0,1,1,1,-1,5,8,12,62,2,779,778
0,1,1,1,-1,4,7,12,62,1,778,777
0,1,1,1,-1,2,6,10,62,2,777,976
0,0,1,1,8,-1,4,10,62,1,976,975
0,0,1,1,8,-1,4,8,62,2,975,974
0,0,1,1,10,-1,2,8,62,2,974,1173
0,0,0,1,11,-1,-1,8,62,1,1173,1172
0,0,0,1,11,-1,-1,8,62,1,1172,1271
0,0,0,1,11,-1,-1,8,61,1,1271,1370
0,0,0,1,12,-1,-1,8,60,1,1370,1369
0,0,0,1,11,-1,-1,7,60,1,1369,1468
0,0,0,1,13,-1,-1,6,59,1,1468,1567
0,0,0,1,13,-1,-1,4,58,1,1567,1666
0,0,0,1,13,-1,-1,4,57,1,1666,1665
0,0,0,1,13,-1,-1,3,57,1,1665,1664
0,0,0,1,14,-1,-1,3,57,1,1664,1763
0,0,0,1,14,-1,-1,4,56,1,1763,1862
0,0,0,1,13,13,-1,4,55,1,1862,1961
0,0,0,1,13,13,-1,2,54,1,1961,2060
0,0,0,1,15,15,-1,1,53,1,2060,2259
1,1,1,1,14,12,15,21,121,2,0,-1
1,1,1,1,13,11,15,22,121,2,-1,-2
1,1,1,1,12,10,16,21,121,2,-2,-3
1,1,1,1,13,11,15,22,121,2,-3,-4
1,1,1,1,14,12,14,22,121,2,-4,-5
1,1,1,1,15,11,15,21,121,2,-5,-6
1,1,1,1,13,9,15,21,121,1,-6,-7
1,1,1,1,11,9,15,21,121,1,-7,92
1,1,1,1,9,9,14,20,120,1,92,191
1,1,1,1,9,7,13,18,119,1,191,290
